#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
115;Dead;Active;u-CRCR;9;0;1;1;0;0;[3];3;3;3.0;[7, 7, 4];4;7;6.0;[8, 10];[11, 12];[0, 0];[1, 0];48;For
116;Dead;Active;u-CRCR;9;0;1;1;0;0;[3];3;3;3.0;[7, 7, 4];4;7;6.0;[8, 10];[11, 12];[0, 0];[1, 0];48;For
117;Dead;Active;u-CRCR;9;0;1;1;0;0;[3];3;3;3.0;[7, 7, 4];4;7;6.0;[8, 10];[11, 12];[0, 0];[1, 0];48;For
118;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
119;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
120;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
121;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
122;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
123;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
124;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
125;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
126;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
127;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
128;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
129;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
130;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
131;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
132;Dead;Active;u-CRCR;11;0;1;0;1;0;[4];4;4;4.0;[6];6;6;6.0;[9];[10];[1];[0];63;Assignment
133;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
134;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
135;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
136;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
137;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
138;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
139;Dead;Active;u-CRCR;13;0;1;1;0;0;[5];5;5;5.0;[5, 2];2;5;3.5;[12, 14];[15, 16];[0, 0];[1, 0];48;For
