#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity
53;Dead;Active;u-Ccsr;3;0;1;0;1;0;[2, 4];2;4;3.0;[4];4;4;4.0;[2];[2];[1];[1];177
54;Dead;Active;u-Ccsr;3;0;1;0;1;0;[2, 4];2;4;3.0;[4];4;4;4.0;[2];[2];[1];[1];177
55;Dead;Active;u-Ccsr;3;0;1;0;1;0;[2, 4];2;4;3.0;[4];4;4;4.0;[2];[2];[1];[1];177
56;Dead;Active;u-Ccsr;3;0;1;0;1;0;[2, 4];2;4;3.0;[4];4;4;4.0;[2];[2];[1];[1];177
57;Dead;Active;u-Ccsr;4;0;0;0;0;0;[2, 4];2;4;3.0;[4, 2];2;4;3.0;[2];[5];[1];[1];35
58;Dead;Active;u-Ccsr;4;0;0;0;0;0;[2, 4];2;4;3.0;[4, 2];2;4;3.0;[2];[5];[1];[1];35
59;Dead;Active;u-Ccsr;4;0;0;0;0;0;[2, 4];2;4;3.0;[4, 2];2;4;3.0;[2];[5];[1];[1];35
60;Dead;Active;u-Ccsr;4;0;0;0;0;0;[2, 4];2;4;3.0;[4, 2];2;4;3.0;[2];[5];[1];[1];35
61;Dead;Active;u-Ccsr;5;0;1;1;0;0;[3, 5, 5];3;5;4.333333333333333;[3, 1];1;3;2.0;[4, 6];[6, 7];[0, 1];[1, 0];42
62;Dead;Active;u-Ccsr;5;0;1;1;0;0;[3, 5, 5];3;5;4.333333333333333;[3, 1];1;3;2.0;[4, 6];[6, 7];[0, 1];[1, 0];42
63;Dead;Active;u-Ccsr;5;0;1;1;0;0;[3, 5, 5];3;5;4.333333333333333;[3, 1];1;3;2.0;[4, 6];[6, 7];[0, 1];[1, 0];42
64;Dead;Active;u-Ccsr;5;0;1;1;0;0;[3, 5, 5];3;5;4.333333333333333;[3, 1];1;3;2.0;[4, 6];[6, 7];[0, 1];[1, 0];42
65;Dead;Active;u-Ccsr;6;0;1;0;1;0;[4, 6, 6];4;6;5.333333333333333;[2];2;2;2.0;[5];[5];[1];[1];181
66;Dead;Active;u-Ccsr;6;0;1;0;1;0;[4, 6, 6];4;6;5.333333333333333;[2];2;2;2.0;[5];[5];[1];[1];181
67;Dead;Active;u-Ccsr;6;0;1;0;1;0;[4, 6, 6];4;6;5.333333333333333;[2];2;2;2.0;[5];[5];[1];[1];181
68;Dead;Active;u-Ccsr;6;0;1;0;1;0;[4, 6, 6];4;6;5.333333333333333;[2];2;2;2.0;[5];[5];[1];[1];181
