,_IM_PROGRAM,_IM_OPERATOR,_IM_SOURCE_PRIMITIVE_ARC,_IM_TARGET_PRIMITIVE_ARC,_IM_DISTANCE_BEGIN_MIN,_IM_DISTANCE_BEGIN_MAX,_IM_DISTANCE_BEGIN_AVG,_IM_DISTANCE_END_MIN,_IM_DISTANCE_END_MAX,_IM_DISTANCE_END_AVG,_IM_COMPLEXITY,_IM_TYPE_STATEMENT,_IM_MINIMAL,_IM_EQUIVALENT,PREDICTED,RESULT
36,findVal,u-CRCR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
37,findVal,u-CRCR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
38,findVal,u-CRCR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
39,findVal,u-CRCR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
40,findVal,u-CRCR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
41,findVal,u-CRCR,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
42,findVal,u-OCNG,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,0,1
43,findVal,u-OCNG,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
44,findVal,u-OEAA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,1,0,0
45,findVal,u-OEAA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
46,findVal,u-OEAA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
47,findVal,u-OEAA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
48,findVal,u-OEAA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
49,findVal,u-OEAA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
50,findVal,u-OEAA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
51,findVal,u-OEAA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
52,findVal,u-OEAA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
53,findVal,u-OEAA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
54,findVal,u-OEBA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,1,0,0
55,findVal,u-OEBA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
56,findVal,u-OEBA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
57,findVal,u-OEBA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,1,0,0
58,findVal,u-OEBA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
59,findVal,u-OEBA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
60,findVal,u-OESA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
61,findVal,u-OESA,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,For,0,0,0,1
62,findVal,u-OESA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
63,findVal,u-OESA,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
64,findVal,u-Oido,0,0,1.0,1.0,1.0,0.5,0.2857142857142857,0.4,0.0,For,0,0,0,1
65,findVal,u-OODL,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
66,findVal,u-OODL,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
67,findVal,u-OODL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
68,findVal,u-OODL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
69,findVal,u-ORAN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
70,findVal,u-ORAN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,1,1,1
71,findVal,u-ORAN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
72,findVal,u-ORAN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
73,findVal,u-ORAN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
74,findVal,u-ORAN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
75,findVal,u-ORAN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
76,findVal,u-ORAN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
77,findVal,u-ORAN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
78,findVal,u-ORAN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
79,findVal,u-ORBN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
80,findVal,u-ORBN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
81,findVal,u-ORBN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,1,1,1
82,findVal,u-ORBN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
83,findVal,u-ORBN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
84,findVal,u-ORBN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
85,findVal,u-ORLN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
86,findVal,u-ORLN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
87,findVal,u-ORLN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
88,findVal,u-ORLN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
89,findVal,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
90,findVal,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,1,0,0,1
91,findVal,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
92,findVal,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
93,findVal,u-ORRN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,1,1,1
94,findVal,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
95,findVal,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
96,findVal,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
97,findVal,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
98,findVal,u-ORRN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
99,findVal,u-ORSN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
100,findVal,u-ORSN,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
101,findVal,u-ORSN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
102,findVal,u-ORSN,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
103,findVal,u-SMTC,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Declaration,0,0,0,1
104,findVal,u-SMTT,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Declaration,0,0,1,0
105,findVal,u-SRSR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
106,findVal,u-SRSR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0,1,0
107,findVal,u-SRSR,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Block,0,0,0,1
108,findVal,u-SSDL,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
109,findVal,u-SSDL,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0,0,1
110,findVal,u-SSDL,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Block,0,0,0,1
111,findVal,u-SSDL,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,0,1
112,findVal,u-SSDL,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Block,0,0,0,1
113,findVal,u-STRI,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
114,findVal,u-STRI,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
115,findVal,u-STRP,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,1,0
116,findVal,u-STRP,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,Block,0,0,0,1
117,findVal,u-STRP,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Block,0,0,0,1
118,findVal,u-STRP,0,0,0.5,0.4,0.4444444444444444,0.0,0.0,0.0,0.18181818181818185,Return,0,0,1,0
119,findVal,u-STRP,0,0,0.0,0.0,0.0,0.5,1.0,1.0,0.24242424242424246,Block,0,0,0,1
120,findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
121,findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,1,1,1
122,findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
123,findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,0,1,0
124,findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,0,1,1,1
125,findVal,u-VDTR,0,0,0.25,0.2,0.2222222222222222,0.25,0.8571428571428571,0.8,0.6818181818181818,For,1,0,0,1
126,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
127,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,1,0,0
128,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
129,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
130,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
131,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,1,0,0,1
132,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,0,0,0,1
133,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,1,0,0,1
134,findVal,u-VDTR,1,0,0.5,0.4,0.4444444444444444,1.0,0.7142857142857143,0.9,1.0,If,1,0,0,1
135,findVal,u-VDTR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,0,0,1
136,findVal,u-VDTR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,0,1,0,0
137,findVal,u-VDTR,0,1,0.75,0.6,0.6666666666666666,1.0,0.5714285714285714,0.8,0.3939393939393939,Assignment,1,0,0,1
