TargetColumn,Classifier,Run,SampleSplit,Accuracy,Precision,Recall,F1
MINIMAL,RF,28,5,82.83962196089746,82.27146325630919,83.20287136570231,83.16154960485524
MINIMAL,RF,29,5,82.78100425654712,82.19073898450316,82.66250631267586,82.86291416174342
MINIMAL,RF,30,5,81.93943438424354,81.12067405945605,81.82129716470673,82.01050563360971
MINIMAL,SVM,1,0,67.51857730322487,66.88735640612465,69.77562946396364,68.22035719387279
MINIMAL,SVM,2,0,67.42785513310727,66.19712067877495,71.40357838539786,68.66624593996444
MINIMAL,SVM,3,0,66.04303441310151,63.57192273969143,75.43395137435971,68.96066810365518
MINIMAL,SVM,4,0,68.00104610056994,67.06493807442735,71.16189308130727,68.99341260075906
MINIMAL,SVM,5,0,67.97272924031455,66.89785802604669,71.3436981458769,69.00778564683672
MINIMAL,SVM,6,0,67.27905634514106,66.68805088646084,69.59202077772166,67.98253929248423
MINIMAL,SVM,7,0,66.85538561431355,64.72102020335134,74.2922588557824,69.1142814581704
MINIMAL,SVM,8,0,67.54761561214919,66.57961595399628,70.73984560998484,68.46987865018342
MINIMAL,SVM,9,0,67.1585744174302,64.97628913113675,74.59418512372844,69.43699428996995
MINIMAL,SVM,10,0,67.18995743452854,65.24265985428363,73.93261669432219,69.19770298667318
MINIMAL,SVM,11,0,67.94242839621961,66.69716988302797,71.70730827501623,69.07849656498604
MINIMAL,SVM,12,0,67.33803477382584,65.9702476035997,72.06442536613521,68.82192440267295
MINIMAL,SVM,13,0,66.4042998340668,65.3132952573435,70.25827862347593,67.65540845956865
MINIMAL,SVM,14,0,66.7388716542818,64.30575933138188,75.31671596565904,69.36583722821507
MINIMAL,SVM,15,0,67.70308780030302,66.5392716600315,71.4649015222567,68.8649921231808
MINIMAL,SVM,16,0,67.27941706947551,65.5983983094885,72.78875982973811,68.97456503287492
MINIMAL,SVM,17,0,67.5470745256475,66.43605722040326,71.09876632277613,68.66120580466635
MINIMAL,SVM,18,0,66.85700887381864,65.59369340289989,71.22501983983841,68.24947911784844
MINIMAL,SVM,19,0,67.51605223288361,66.57022674296454,70.37443185917323,68.3748812804487
MINIMAL,SVM,20,0,68.24128850732272,67.13154095275111,71.58321910396076,69.23769375285721
MINIMAL,SVM,21,0,66.94737031960176,65.91800810686802,70.25972152081378,67.99638646869886
MINIMAL,SVM,22,0,67.57827718057861,66.07323592092278,72.36526946107784,69.05007706883426
MINIMAL,SVM,23,0,66.86025539282878,64.74748956238416,74.232017891927,69.1268652517788
MINIMAL,SVM,24,0,68.24453502633287,67.21932321576578,71.76466344419596,69.35334373129923
MINIMAL,SVM,25,0,66.64580477599019,64.92627091891508,72.48935863213333,68.45345513246957
MINIMAL,SVM,26,0,66.91797128634298,65.01265070773547,73.44780318880309,68.94607789502179
MINIMAL,SVM,27,0,66.61802900223648,65.52698761925167,70.6788831974605,67.9058890426036
MINIMAL,SVM,28,0,67.00905418079503,65.79067262749162,71.40321766106341,68.40391342560167
MINIMAL,SVM,29,0,66.6158646562297,65.44495927944016,70.49743885722529,67.83912769461612
MINIMAL,SVM,30,0,66.46544260875838,64.73653897861601,72.7898420027415,68.45247328194048
MINIMAL,LDA,1,0,68.48387562224949,68.70102095900049,68.0347738258423,68.32725769892555
MINIMAL,LDA,2,0,69.26574561719934,69.24765531132189,69.65767260659405,69.39144155319157
MINIMAL,LDA,3,0,67.36779453141908,67.07203659365042,68.39153019262679,67.70607606746043
MINIMAL,LDA,4,0,68.87490080080802,69.123597812627,68.45249260515115,68.74527840786635
MINIMAL,LDA,5,0,68.99015222566915,69.61440328605428,67.96912199696992,68.69093161625372
MINIMAL,LDA,6,0,68.42435610706298,68.2853715800896,68.99790779886011,68.59866512907092
MINIMAL,LDA,7,0,67.88020344852464,67.75771427172708,68.45141043214775,68.05585837995747
MINIMAL,LDA,8,0,68.54231296443258,68.87156674787532,67.91176682779019,68.33577242126461
MINIMAL,LDA,9,0,68.69291537407113,68.71306855134878,69.05490224370536,68.81878433000861
MINIMAL,LDA,10,0,66.8279705648943,66.56603603683422,67.67044224803405,67.071283141634
MINIMAL,LDA,11,0,70.41194718995743,70.38872571178642,70.44441238005916,70.37471372121186
MINIMAL,LDA,12,0,68.69381718490729,69.0556357469881,67.78984200274151,68.33050259665066
MINIMAL,LDA,13,0,68.72429839116947,68.67681016748386,69.17430199841282,68.85643171234734
MINIMAL,LDA,14,0,70.41050429261958,70.3641501010032,70.619363682274,70.46373233909284
MINIMAL,LDA,15,0,69.26574561719934,69.75480878252128,68.15200923454296,68.88849115443129
MINIMAL,LDA,16,0,68.1233316499531,67.71335848427948,69.41815164851019,68.50542706737724
MINIMAL,LDA,17,0,68.5152586393478,68.21575110648159,69.77743308563596,68.92870943493847
MINIMAL,LDA,18,0,67.9112257412885,67.87828442209988,68.15453430488421,67.96287080318245
MINIMAL,LDA,19,0,68.18194935430344,68.38544792048825,67.73104393622393,68.01458935290282
MINIMAL,LDA,20,0,69.29766972079938,69.64951159353637,68.57297453286199,69.07717988444723
MINIMAL,LDA,21,0,67.9702041699733,68.01846016750453,67.84791862059015,67.88688924851604
MINIMAL,LDA,22,0,67.45941851237285,66.94250193969711,69.17358054974389,67.96418981033224
MINIMAL,LDA,23,0,67.2170117596133,66.76598085060597,68.51020849866532,67.59296348723342
MINIMAL,LDA,24,0,69.65659043359067,69.52671301743094,70.25791789914149,69.83691222465514
MINIMAL,LDA,25,0,67.79164562441382,67.78324831052687,67.85152586393478,67.77782734213771
MINIMAL,LDA,26,0,67.42677296010389,67.91635103412519,66.16189308130728,66.97340317591022
MINIMAL,LDA,27,0,68.06128706442536,68.37599461025654,67.36995887742587,67.83171935207905
MINIMAL,LDA,28,0,69.20586537767839,69.78859011796436,67.97200779164561,68.7926457389632
MINIMAL,LDA,29,0,70.58834138951012,70.86688779833355,69.9563523555299,70.39595388618565
MINIMAL,LDA,30,0,67.25001803621673,66.90571678988447,68.33309285044369,67.58852535163146
MINIMAL,LR,1,0,69.26845104970779,69.65440805146197,68.2162181660775,68.90473016951995
MINIMAL,LR,2,0,68.33363393694538,68.75240125413693,67.25200202005628,67.95647269984914
MINIMAL,LR,3,0,67.78821874323641,67.74662956325115,68.09032537334969,67.86154641940445
MINIMAL,LR,4,0,68.33056778010246,68.59610498563461,67.9077988601111,68.1763414052645
MINIMAL,LR,5,0,67.78785801890194,68.28300290647977,66.58213693095736,67.37939483801034
MINIMAL,LR,6,0,68.99574345285333,69.09008928777203,68.99430055551548,68.98048899673647
MINIMAL,LR,7,0,68.63393694538632,68.65765107067693,68.57549960320324,68.60051302172977
MINIMAL,LR,8,0,68.63339585888464,68.73246748103672,68.51381574200995,68.56489676711824
MINIMAL,LR,9,0,67.00725055912271,67.18392771137444,66.64851020849866,66.8836772910516
MINIMAL,LR,10,0,67.8181588629969,67.88204760271232,67.60695476516845,67.71096808011004
MINIMAL,LR,11,0,67.54887814731981,67.71835451487777,67.00670947262101,67.31958035315756
MINIMAL,LR,12,0,68.45285332948559,68.43162174485386,68.7551403217661,68.51298372222689
MINIMAL,LR,13,0,67.69911983262391,68.05147066386773,66.8840631989034,67.40174547600165
MINIMAL,LR,14,0,67.85170622610202,68.01575846294286,67.43092128995022,67.68383728937246
MINIMAL,LR,15,0,67.8181588629969,68.24904476483565,66.70478320467498,67.43228113288279
MINIMAL,LR,16,0,67.45995959887455,67.99668355383032,66.28742514970061,67.02943242924286
MINIMAL,LR,17,0,68.17960464612946,68.42997248767054,67.91284900079361,68.10026357238769
MINIMAL,LR,18,0,67.91248827645913,67.77821955507473,68.75766539210736,68.17506951358358
MINIMAL,LR,19,0,67.81689632782629,68.00756755057067,67.78839910540366,67.82070915173891
MINIMAL,LR,20,0,68.51363537984273,68.68069597696855,68.2129716470673,68.41499098849894
MINIMAL,LR,21,0,68.78363754418872,68.52706904978002,69.53358343553855,68.96308240554545
MINIMAL,LR,22,0,68.75495995959888,68.86022279170953,68.75297597575931,68.74412770555539
MINIMAL,LR,23,0,68.87219536829954,69.15655569801521,68.38828367361664,68.71053751244172
MINIMAL,LR,24,0,67.99978356539931,68.54959685892379,66.7037010316716,67.5538448582312
MINIMAL,LR,25,0,67.51983983839548,67.64771233844196,67.25128057138735,67.39473025004237
MINIMAL,LR,26,0,68.57477815453429,69.15560224453921,67.31080008657383,68.17157231596512
