TargetColumn,Classifier,SampleSplit,Accuracy,Precision,Recall,F1
MINIMAL,KNN,29,70.9724286367025,70.19832670915379,73.0465454632903,71.53785872565722
MINIMAL,KNN,30,71.09782843950651,71.31628782836427,70.72845874516028,70.96151484273744
MINIMAL,KNN,31,70.95028617463868,70.16730663334029,73.03601231272394,71.51920907347127
MINIMAL,KNN,32,70.89421157684632,71.11300889109813,70.51961137965036,70.75792499755477
MINIMAL,KNN,33,70.69547651684583,69.96773090292275,72.6751196402376,71.24013210024415
MINIMAL,KNN,34,70.66434600678161,70.81634135064817,70.42943029603444,70.56712054671551
MINIMAL,KNN,35,70.5208679027487,69.85041202377245,72.38619147247672,71.04094427949875
MINIMAL,KNN,36,70.52998220426616,70.64810300770506,70.40944616790516,70.4689278416096
MINIMAL,KNN,37,70.3974160113508,69.62999056027623,72.5246134237549,70.99018238158946
MINIMAL,KNN,38,70.5126794603564,70.49966619897711,70.72045066493519,70.54937575163379
MINIMAL,KNN,39,70.42150638482072,69.59971447907652,72.71128826683982,71.06439669993983
MINIMAL,KNN,40,70.58911093475699,70.39735669803841,71.24620638241588,70.7607242832218
EQUIVALENT,KNN,2,70.49434908789387,79.16566279320223,55.68680762852405,65.3013060657167
EQUIVALENT,KNN,3,76.12995024875622,75.02899201708107,78.43893864013266,76.65651003995293
EQUIVALENT,KNN,4,75.04479684908789,78.21506258719818,69.52222222222221,73.56373141759279
EQUIVALENT,KNN,5,76.99596185737975,75.11801994376188,80.8486152570481,77.84452095237273
EQUIVALENT,KNN,6,76.00757048092868,77.28245357175692,73.77092039800996,75.44204583132685
EQUIVALENT,KNN,7,76.83716003316749,74.75872597955481,81.16792703150912,77.7958939539121
EQUIVALENT,KNN,8,76.50757877280266,77.04907245751048,75.61801824212272,76.28643264971964
EQUIVALENT,KNN,9,76.78453565505805,74.731802711418,81.0627529021559,77.7317450201862
EQUIVALENT,KNN,10,76.89021558872307,76.99663144739385,76.78768656716417,76.85276803058969
EQUIVALENT,KNN,11,77.13308043117745,75.16025873184718,81.18092039800995,78.01530288261185
EQUIVALENT,KNN,12,77.1098424543947,76.94696157452887,77.53643449419567,77.19703444893501
EQUIVALENT,KNN,13,77.15314262023217,75.25157047969242,81.05466832504145,78.0043912324183
EQUIVALENT,KNN,14,77.01521558872307,76.63173605797789,77.85817578772803,77.19592298667227
EQUIVALENT,KNN,15,76.99774875621891,75.15258227895568,80.80367330016584,77.83590148702335
EQUIVALENT,KNN,16,76.78803482587067,76.392634894813,77.67498341625206,76.98508341569185
EQUIVALENT,KNN,17,76.79619402985072,75.09573459870408,80.32921227197347,77.58366489919769
EQUIVALENT,KNN,18,76.65073383084578,76.23148634106501,77.57350746268658,76.85369841165996
EQUIVALENT,KNN,19,76.57404228855721,74.94543798644283,79.97475953565508,77.34062915180903
EQUIVALENT,KNN,20,76.68500414593697,76.19564509955032,77.74518242122718,76.91935409088883
EQUIVALENT,KNN,21,76.53762023217249,74.91550403794008,79.9169817578773,77.29990619096662
EQUIVALENT,KNN,22,76.69245854063016,76.05578465719765,78.03150912106135,76.99173616449185
EQUIVALENT,KNN,23,76.55942371475952,74.83657375089777,80.15834991708128,77.36869765181508
EQUIVALENT,KNN,24,76.58591210613599,75.72203875382519,78.39419568822554,76.99310093025993
EQUIVALENT,KNN,25,76.46036898839138,74.66317347033133,80.25320066334992,77.31815789120942
EQUIVALENT,KNN,26,76.43541044776117,75.4440657784716,78.51255389718077,76.90791909512708
EQUIVALENT,KNN,27,76.35725953565503,74.42590563415135,80.43959369817578,77.27981371105335
EQUIVALENT,KNN,28,76.29136401326701,75.192212176456,78.60546434494196,76.82008306257696
EQUIVALENT,KNN,29,76.26823797678276,74.28625775561514,80.47785240464346,77.22208468208872
EQUIVALENT,KNN,30,76.27303482587065,75.11095317296393,78.69525704809287,76.82385217969487
EQUIVALENT,KNN,31,76.17335820895522,74.15927501965699,80.4730431177446,77.14839963561175
